2026-05-13T11:48:19,5e2667b,speculative,Transformer AR,1071864,0.93,1.00
2026-05-13T11:48:19,5e2667b,tree_build,DFlash,520147,1.92,8.00
2026-05-13T11:48:19,5e2667b,tree_build,DDTree Build,370902,2.70,0.00
2026-05-13T11:48:19,5e2667b,speculative,Speculative (Simulated),1046021,4.78,5.00
2026-05-13T11:48:19,5e2667b,speculative,Speculative (AR Draft),1485089,4.71,7.00
2026-05-13T11:48:19,5e2667b,speculative,Leviathan (Algorithm 1),113286,10.41,1.18
2026-05-13T11:48:19,5e2667b,speculative,Leviathan (no rollback),114046,10.34,1.18
2026-05-13T11:48:19,5e2667b,speculative,Leviathan (w/ rollback),193272,6.08,1.18
2026-05-13T11:48:19,5e2667b,speculative,Spec (unconditioned),1050826,4.76,5.00
2026-05-13T11:48:19,5e2667b,speculative,Spec (conditioned),1137802,5.93,6.74
2026-05-13T11:48:19,5e2667b,infrastructure,Prefill (no compress),306633,3.26,64.00
2026-05-13T11:48:19,5e2667b,infrastructure,Prefill (compressed),278479,3.59,7.00
2026-05-13T11:48:19,5e2667b,tree_build,DDTree (no chain),358888,2.79,16.00
2026-05-13T11:48:19,5e2667b,tree_build,DDTree (chain-seed),375709,2.66,16.00
2026-05-13T11:48:19,5e2667b,tree_build,DDTree (screened R=1.0),292642,3.42,16.00
2026-05-13T11:48:19,5e2667b,tree_build,DDTree (screened adapter),293558,3.41,16.00
2026-05-13T11:48:19,5e2667b,infrastructure,forward (flat),1100791,0.91,0.00
2026-05-13T11:48:19,5e2667b,infrastructure,forward_paged,1012551,0.99,0.00
2026-05-13T11:48:19,5e2667b,infrastructure,forward_raven (16 slots),1714744,0.58,0.00
2026-05-13T11:48:19,5e2667b,infrastructure,raven_recall (1000 noise, slot 12=9.9→6.3 acc=63%),9720535,0.10,63.21
2026-05-13T15:54:16,0381784,speculative,Transformer AR,1103074,0.91,1.00
2026-05-13T15:54:16,0381784,tree_build,DFlash,499652,2.00,8.00
